bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
American Southern Bank,745 CHASTAIN ROAD NW BUILDING 4000,KENNESAW,GA,30144,57943,24-Apr-09,Bank of North Georgia,34.03442,-84.570961,4,2009,200904,112.3,104.3
"Silverton Bank, NA",2410 PACES FERRY ROAD 600 PACES SUMMIT,ATLANTA,GA,30339,26535,1-May-09,No Acquirer,33.861252,-84.483093,5,2009,200905,4100,3300
America West Bank,"476 WEST HERITAGE PARK BOULEVARD, S-100",LAYTON,UT,84041,35461,1-May-09,Cache Valley Bank,41.0500946,-112.0339966,5,2009,200905,299.4,284.1
Citizens Community Bank,1717 EAST RIDGEWOOD AVENUE,RIDGEWOOD,NJ,7450,57563,1-May-09,North Jersey Community Bank,40.9741592,-74.0963287,5,2009,200905,45.1,43.7
Westsound Bank,607 PACIFIC AVENUE,BREMERTON,WA,98337,34843,8-May-09,Kitsap Bank,47.567661,-122.627594,5,2009,200905,334.6,304.5
"BankUnited, FSB",255 Alhambra Circle,Coral Gables,FL,33134,32247,21-May-09,BankUnited,25.752647,-80.260117,5,2009,200905,12800,8600
Strategic Capital Bank,1608 BROADMOOR DRIVE,CHAMPAIGN,IL,61821,35175,22-May-09,Midland States Bank,40.094234,-88.273216,5,2009,200905,537,471
Citizens National Bank,127 SOUTH SIDE SQUARE,MACOMB,IL,61455,5757,22-May-09,Morton Community Bank,40.4582416,-90.6712268,5,2009,200905,437,400
Bank of Lincolnwood,4433 WEST TOUHY AVENUE,LINCOLNWOOD,IL,60646,17309,5-Jun-09,Republic Bank of Chicago,42.011467,-87.740318,6,2009,200906,214,202
Cooperative Bank,201 MARKET STREET,WILMINGTON,NC,28401,27837,19-Jun-09,First Bank,34.235836,-77.947166,6,2009,200906,970,774
